,county,accuracy,accuracy_baseline,accuracy_random,var_score,var_score_baseline,var_score_random
0,Garissa,91.72,87.16,79.21,0.52,0.11,-1.8
1,Isiolo,92.57,83.66,69.93,0.71,-0.01,-2.21
2,Mandera,88.94,85.04,68.93,0.46,0.07,-2.14
3,Marsabit,90.17,82.23,67.62,0.57,0.03,-2.68
4,Samburu,93.69,90.2,61.39,0.68,0.24,-6.32
5,Tana River,95.24,88.76,59.47,0.74,0.19,-6.32
6,Turkana,91.91,86.34,73.27,0.64,0.04,-2.61
7,Wajir,91.19,84.72,70.15,0.59,-0.01,-2.18
8,Baringo,92.53,85.85,67.3,0.67,0.05,-2.87
9,Kajiado,90.31,86.92,68.95,0.56,0.16,-2.39
10,Kilifi,91.56,85.64,63.89,0.76,0.06,-2.96
11,Kitui,87.79,80.27,49.54,0.61,0.21,-3.36
12,Laikipia,88.36,84.24,60.66,0.59,0.14,-2.75
13,Makueni,89.39,83.23,68.11,0.51,0.22,-1.67
14,Meru,90.68,85.89,65.61,0.53,0.13,-3.48
15,Taita Taveta,88.89,79.73,63.0,0.68,0.12,-2.05
16,Tharaka,92.26,86.24,67.33,0.72,0.18,-2.72
17,West Pokot,84.25,75.81,40.29,0.4,0.06,-2.23
18,Lamu,91.02,79.33,65.17,0.73,-0.02,-1.76
19,Nyeri,93.1,81.22,65.77,0.82,-0.01,-2.7
20,Narok,87.91,78.22,60.12,0.69,0.15,-1.36
