,county,accuracy,accuracy_baseline,accuracy_baseline2,accuracy_lr,var_score,var_score_baseline,var_score_baseline2,var_score_lr,mae,mae_baseline,mae_baseline2,mae_lr,mse,mse_baseline,mse_baseline2,mse_lr,lead
0,Garissa,87.23,100.0,80.71,0,0.29,1.0,0.12,0,0.16,0.0,0.2,107.22,0.27,0.0,0.37,5.42,0
1,Garissa,86.8,73.74,80.71,0,0.36,0,0.12,0,0.14,0.47,0.2,14.62,0.26,0.49,0.37,2.8,1
2,Garissa,86.27,73.74,80.71,0,0.25,0,0.12,0,0.17,0.47,0.2,32.99,0.26,0.49,0.37,3.83,2
3,Garissa,83.2,70.38,80.71,0,0,0,0.12,0,0.24,0.52,0.2,34.9,0.29,0.56,0.37,4.75,4
4,Garissa,81.3,66.81,80.71,0,0.08,0,0.12,0,0.21,0.65,0.2,14085.11,0.36,0.69,0.37,54.37,8
5,Garissa,79.16,64.44,80.71,0,0.07,0,0.12,0,0.21,0.85,0.2,343.09,0.39,0.75,0.37,9.48,12
6,Isiolo,82.7,100.0,72.27,0,0.11,1.0,0,0,0.27,0.0,0.38,49.36,0.36,0.0,0.54,3.64,0
7,Isiolo,84.33,76.14,72.27,0,0.22,0,0,0,0.24,0.46,0.38,119.49,0.33,0.47,0.54,8.32,1
8,Isiolo,81.1,76.14,72.27,0,0.09,0,0,0,0.28,0.46,0.38,30.97,0.39,0.47,0.54,4.87,2
9,Isiolo,74.3,73.09,72.27,0,0,0,0,0,0.53,0.5,0.38,8.66,0.5,0.53,0.54,2.35,4
10,Isiolo,73.08,63.51,72.27,0,0,0,0,0,0.36,0.79,0.38,37.41,0.54,0.76,0.54,3.68,8
11,Isiolo,75.69,57.56,72.27,0,0,0,0,0,0.32,1.07,0.38,122.43,0.47,0.93,0.54,5.35,12
12,Mandera,77.42,100.0,70.6,0,0,1.0,0,0,0.32,0.0,0.35,8688.75,0.41,0.0,0.51,57.12,0
13,Mandera,80.77,63.92,70.6,0,0.09,0,0,0,0.25,0.83,0.35,10575.98,0.35,0.68,0.51,42.94,1
14,Mandera,77.57,63.92,70.6,0,0,0,0,0,0.3,0.83,0.35,855.07,0.41,0.68,0.51,13.03,2
15,Mandera,77.84,62.86,70.6,0,0,0,0,0,0.3,0.87,0.35,1923.11,0.4,0.7,0.51,16.99,4
16,Mandera,72.57,67.46,70.6,0,0,0,0,0,0.35,0.62,0.35,76624.21,0.48,0.58,0.51,125.99,8
17,Mandera,74.85,65.11,70.6,0,0,0,0,0,0.29,0.84,0.35,55099.66,0.45,0.67,0.51,83.14,12
18,Marsabit,80.89,100.0,73.25,0,0.18,1.0,0,0,0.25,0.0,0.35,226.45,0.39,0.0,0.5,12.53,0
19,Marsabit,81.49,77.72,73.25,0.82,0.25,0,0,0,0.23,0.38,0.35,9.79,0.39,0.44,0.5,2.41,1
20,Marsabit,82.25,77.72,73.25,0,0.28,0,0,0,0.22,0.38,0.35,76.31,0.37,0.44,0.5,6.94,2
21,Marsabit,75.54,74.23,73.25,0,0.03,0,0,0,0.3,0.43,0.35,9.25,0.48,0.51,0.5,2.62,4
