,county,accuracy,accuracy_baseline,accuracy_random,feature,feature_imp
0,Garissa,92.25,87.16,72.46,SPI12,0.26
1,Isiolo,92.97,83.66,66.94,SPI12,0.35
2,Mandera,88.98,85.04,73.97,SPI24,0.28
3,Marsabit,90.13,82.23,68.38,SPI12,0.44
4,Samburu,93.79,90.2,55.56,SPI24,0.28
5,Tana River,95.46,88.76,66.0,year,0.39
6,Turkana,91.84,86.34,72.78,year,0.24
7,Wajir,91.2,84.72,76.37,SPI24,0.3
8,Baringo,92.44,85.85,71.66,MUAC,0.25
9,Kajiado,90.33,86.92,71.22,SPI24,0.35
10,Kilifi,91.49,85.64,68.09,SPI24,0.28
11,Kitui,87.62,80.27,46.71,SPI12,0.49
12,Laikipia,88.15,84.24,66.69,SPI24,0.27
13,Makueni,89.95,83.23,60.24,SPI12,0.45
14,Meru,90.66,85.89,60.06,SPI12,0.42
15,Taita Taveta,89.07,79.73,59.17,SPI12,0.43
16,Tharaka,92.41,86.24,60.08,SPI12,0.31
17,West Pokot,84.1,75.81,41.64,year,0.38
18,Lamu,91.03,79.33,61.41,MPR,0.32
19,Nyeri,93.07,81.22,59.87,SPI24,0.51
20,Narok,87.93,78.22,62.73,SPI24,0.32
