,p,ap,other,max
Garissa,0.9744680851063829,0.0,0.02553191489361702,p
Isiolo,0.8582089552238806,0.05970149253731343,0.08208955223880597,p
Mandera,0.8840579710144928,0.07246376811594203,0.043478260869565216,p
Marsabit,0.8712871287128713,0.022277227722772276,0.10643564356435643,p
Samburu,0.6792452830188679,0.3113207547169811,0.009433962264150943,p
Tana River,0.7061855670103093,0.0,0.29381443298969073,p
Turkana,0.8591549295774648,0.07887323943661972,0.061971830985915494,p
Wajir,0.8758389261744967,0.12416107382550336,0.0,p
Baringo,0.018867924528301886,0.7735849056603774,0.20754716981132076,ap
Kajiado,0.8672566371681416,0.08849557522123894,0.04424778761061947,p
Kilifi,0.0,0.0,1.0,other
Kitui,0.0,0.0,1.0,other
Laikipia,0.0,0.8431372549019608,0.1568627450980392,ap
Makueni,0.11904761904761904,0.0,0.8809523809523809,other
Meru,0.0,0.0,1.0,other
Taita Taveta,0.022727272727272728,0.0,0.9772727272727273,other
Tharaka,0.0,0.0,1.0,other
West Pokot,0.5510204081632653,0.30612244897959184,0.12244897959183673,p
Lamu,0.5806451612903226,0.0,0.3870967741935484,p
Nyeri,0.0,0.0,1.0,other
Narok,0.5698924731182796,0.3118279569892473,0.10752688172043011,p
